subject_id,azimuth_deg,elevation_deg,radius_m,itd_us,ild_db
P0001,295.0,45.0,1.5,-333.3333333333333,-14.12236675998692
P0001,295.0,60.0,1.5,-250.0,-12.559069977595772
P0001,295.0,75.0,1.5,-145.83333333333334,-7.50870523909887
P0001,115.0,75.0,1.5,83.33333333333333,5.903540508050167
P0001,115.0,60.0,1.5,187.5,9.324173176251835
P0001,115.0,45.0,1.5,312.5,10.328853901192572
P0001,115.0,30.0,1.5,395.8333333333333,11.177226320755139
P0001,115.0,20.0,1.5,437.5,13.00664331170415
P0001,115.0,10.0,1.5,458.3333333333333,13.988810746760265
P0001,115.0,0.0,1.5,458.3333333333333,14.165534067399975
P0001,115.0,-10.0,1.5,479.16666666666663,14.186923673637972
P0001,115.0,-20.0,1.5,458.3333333333333,15.341961908011685
P0001,115.0,-30.0,1.5,458.3333333333333,16.500446233996175
P0001,115.0,-45.0,1.5,375.0,12.936082717047658
P0001,290.0,-45.0,1.5,-312.5,-12.373665058258469
P0001,290.0,-30.0,1.5,-395.8333333333333,-15.207006134070046
P0001,290.0,-20.0,1.5,-437.5,-15.317769573680769
P0001,290.0,-10.0,1.5,-479.16666666666663,-15.520167326004405
P0001,290.0,0.0,1.5,-500.0,-16.56680162290757
P0001,290.0,10.0,1.5,-500.0,-16.928126249925988
P0001,290.0,20.0,1.5,-479.16666666666663,-16.12722300745737
P0001,290.0,30.0,1.5,-437.5,-15.459488789120249
P0001,290.0,45.0,1.5,-354.1666666666667,-14.459561239663163
P0001,290.0,60.0,1.5,-270.8333333333333,-12.8732147120584
P0001,290.0,75.0,1.5,-145.83333333333334,-8.00121184007338
P0001,110.0,75.0,1.5,83.33333333333333,6.223692424072809
P0001,110.0,60.0,1.5,208.33333333333334,9.883634762342863
P0001,110.0,45.0,1.5,333.3333333333333,10.970900957414177
P0001,110.0,30.0,1.5,437.5,11.920831511282852
P0001,110.0,20.0,1.5,479.16666666666663,14.077531737822548
P0001,110.0,10.0,1.5,500.0,15.387620801622202
P0001,110.0,0.0,1.5,500.0,15.550075711086372
P0001,110.0,-10.0,1.5,500.0,15.93742353980085
P0001,110.0,-20.0,1.5,479.16666666666663,17.317326730760865
P0001,110.0,-30.0,1.5,479.16666666666663,18.445701738950916
P0001,110.0,-45.0,1.5,416.6666666666667,13.36430420878456
P0001,285.0,-45.0,1.5,-333.3333333333333,-13.62014055646586
P0001,285.0,-30.0,1.5,-416.6666666666667,-16.301676053993173
P0001,285.0,-20.0,1.5,-458.3333333333333,-16.727777685997435
P0001,285.0,-10.0,1.5,-520.8333333333334,-16.640499970240228
P0001,285.0,0.0,1.5,-541.6666666666666,-17.19937042874774
P0001,285.0,10.0,1.5,-541.6666666666666,-17.63162150859943
P0001,285.0,20.0,1.5,-520.8333333333334,-16.49702826319991
P0001,285.0,30.0,1.5,-479.16666666666663,-15.729378509066747
P0001,285.0,45.0,1.5,-395.8333333333333,-14.653318374506632
P0001,285.0,60.0,1.5,-270.8333333333333,-12.973483463309686
P0001,285.0,75.0,1.5,-166.66666666666666,-8.170815238370633
P0001,105.0,75.0,1.5,83.33333333333333,6.384014059992539
P0001,105.0,60.0,1.5,229.16666666666666,10.279600508853076
P0001,105.0,45.0,1.5,375.0,11.634652874973758
P0001,105.0,30.0,1.5,458.3333333333333,12.711139399604415
P0001,105.0,20.0,1.5,520.8333333333334,15.080741573353189
P0001,105.0,10.0,1.5,541.6666666666666,15.926429921752689
P0001,105.0,0.0,1.5,520.8333333333334,16.37083989443868
P0001,105.0,-10.0,1.5,541.6666666666666,17.426501596340035
P0001,105.0,-20.0,1.5,500.0,18.47074579733955
P0001,105.0,-30.0,1.5,500.0,19.16025319498788
P0001,105.0,-45.0,1.5,437.5,13.742676650524713
P0001,280.0,-45.0,1.5,-354.1666666666667,-14.709222972203744
P0001,280.0,-30.0,1.5,-458.3333333333333,-17.158362747230385
P0001,280.0,-20.0,1.5,-500.0,-17.33383477561705
P0001,280.0,-10.0,1.5,-562.5,-17.089561823123653
P0001,280.0,0.0,1.5,-604.1666666666667,-17.283742089972108
P0001,280.0,10.0,1.5,-583.3333333333334,-18.46720190838661
P0001,280.0,20.0,1.5,-541.6666666666666,-17.190478166860768
P0001,280.0,30.0,1.5,-500.0,-16.197968921213427
P0001,280.0,45.0,1.5,-395.8333333333333,-14.739547227527055
P0001,280.0,60.0,1.5,-291.6666666666667,-12.999574213743053
P0001,280.0,75.0,1.5,-166.66666666666666,-8.488556168690675
P0001,100.0,75.0,1.5,83.33333333333333,6.118116656406132
P0001,100.0,60.0,1.5,229.16666666666666,10.562900237168842
P0001,100.0,45.0,1.5,375.0,12.209488459475576
P0001,100.0,30.0,1.5,500.0,13.12825684513641
P0001,100.0,20.0,1.5,541.6666666666666,16.326523925979227
P0001,100.0,10.0,1.5,770.8333333333334,16.642001066765953
